seed	team	player	wins	losses	cmpRnk	cmp	trnRnk	trn	slamRnk	slam	masseyRnk	massey	utrRnk	utr	itaRnk	ita	r2Id	masseyId	utrId
11	UGA  	Britton Johnston                    	 4	 9	468	55.720	462	 86.027	427	 87.985	430	6.143	443	12.02	   	      	487818	331258	2588009
11	UGA  	Niklas Von Hellens                  	 2	 5	533	49.243	521	 83.788	517	 85.145	476	5.889	580	11.01	   	      	561764	331273	2557633
12	USC  	Daniel Cukierman                    	16	 5	  6	99.305	  5	 98.803	  6	 98.929	 11	8.722	  1	14.08	 49	16.387	399776	332055	1228093
12	USC  	Riley Smith                         	16	 6	 39	95.766	 42	 96.236	 40	 96.485	 41	8.266	 38	13.41	 52	15.477	453064	332056	 233231
12	USC  	Stefan Dostanic                     	20	 3	 46	95.329	 45	 96.064	 56	 95.820	 30	8.439	 28	13.47	105	 5.431	510835	332039	2118844
12	USC  	Bradley Frye                        	18	 6	 98	90.170	 98	 94.145	111	 94.307	 62	8.001	 56	13.31	243	 2.436	486015	332041	1608061
12	USC  	Lodewijk Weststrate                 	25	 4	108	89.046	122	 93.542	138	 93.580	 69	7.982	 75	13.24	181	 2.930	563765	332045	 235464
12	USC  	Mor Bulis                           	 4	 3	191	79.935	222	 91.381	177	 92.733	267	6.944	301	12.51	103	 5.611	498366	332561	  55414
12	USC  	Ryder Jackson                       	 6	 2	198	79.117	252	 90.741	208	 92.232	179	7.310	148	12.94	286	 2.162	510836	332043	2723765
12	USC  	Jake Sands                          	14	 5	204	78.883	217	 91.461	261	 91.291	151	7.436	198	12.81	248	 2.419	486016	332255	1229206
12	USC  	Colter Smith                        	 6	 0	423	59.829	475	 85.475	473	 86.726	   	     	493	11.73	159	 3.429	510837	      	  85299
12	USC  	Sean Holt                           	 1	 2	578	46.168	534	 83.463	551	 83.652	   	     	571	11.13	   	      	563764	      	 554872
13	SCAR 	Daniel Rodrigues                    	26	 7	  4	99.387	  9	 98.364	  8	 98.651	 10	8.797	  6	13.81	  2	58.793	485261	331280	 225572
13	SCAR 	Connor Thomson                      	18	13	 65	93.559	 63	 95.254	 83	 95.027	 79	7.940	122	13.05	 22	28.969	511597	331272	 253155
13	SCAR 	Toby Samuel                         	27	 7	 68	93.188	 71	 94.924	 96	 94.550	 43	8.253	 77	13.23	 65	10.781	528050	331285	 274895
13	SCAR 	Raphael Lambling                    	12	19	110	88.850	142	 93.055	122	 94.072	163	7.375	113	13.09	 54	15.339	485260	331262	 196286
13	SCAR 	Jake Beasley                        	20	10	189	80.344	163	 92.636	204	 92.347	148	7.441	162	12.91	368	 1.733	485248	331279	 315203
13	SCAR 	Thomas Brown                        	11	 8	262	73.636	253	 90.737	270	 91.072	255	6.996	263	12.63	278	 2.192	393233	331278	1888427
13	SCAR 	Phillip Jordan                      	11	16	318	68.479	291	 89.879	277	 90.910	311	6.737	274	12.60	   	      	511593	331257	1635569
13	SCAR 	Beau Pelletier                      	 7	 6	380	63.291	374	 88.148	380	 89.019	362	6.546	395	12.21	328	 1.939	485952	331282	 217439
13	SCAR 	Carter Morgan                       	 2	 7	574	46.428	573	 79.889	562	 83.118	553	5.205	547	11.40	   	      	528048	331275	2008513
13	SCAR 	Bruno Oliveira                      	 0	 2	583	45.771	569	 80.370	546	 83.954	   	     	561	11.29	   	      	528049	      	2038245
14	UK   	Liam Draxl                          	21	 2	  2	99.680	  2	 99.989	  4	 99.354	  6	8.925	  7	13.78	  1	64.583	511968	332018	2204714
14	UK   	Gabriel Diallo                      	19	 8	 37	96.027	 46	 95.964	 45	 96.253	 56	8.072	 61	13.29	 14	37.696	511971	331277	 215644
14	UK   	Millen Hurrion                      	19	 7	 54	94.288	 78	 94.697	 70	 95.302	 75	7.953	 45	13.38	 33	22.798	511970	331266	1032400
14	UK   	Cesar Bourgois                      	15	 7	117	88.065	137	 93.179	151	 93.322	110	7.681	133	12.99	 80	 7.979	391889	332019	2543671
14	UK   	Joshua Lapadat                      	11	10	147	85.147	161	 92.689	162	 93.105	160	7.378	175	12.88	 99	 6.207	561767	331276	2561007
14	UK   	Yasha Zemel                         	 7	 6	341	67.067	318	 89.454	330	 90.033	331	6.650	329	12.41	339	 1.907	564877	332480	 291542
14	UK   	Mathis Moysan                       	 4	 3	370	64.120	390	 87.948	352	 89.603	372	6.480	274	12.60	425	 1.448	564879	332020	 275156
