seed	team	player	wins	losses	cmpRnk	cmp	trnRnk	trn	slamRnk	slam	masseyRnk	massey	utrRnk	utr	itaRnk	ita	r2Id	masseyId	utrId
13	GT   	Sophia Sassoli               	 1	 1	531	51.308	537	 67.559	547	 67.674	474	4.937	489	 7.82	   	      	513568	337128	  95657
14	UVA  	Emma Navarro                 	19	 1	  2	99.717	  2	 99.998	  3	 99.393	  5	8.868	  2	11.35	  3	62.958	564450	337529	2517427
14	UVA  	Natasha Subhash              	16	 6	 23	97.597	 33	 94.925	 30	 95.727	 29	8.190	 31	10.76	  9	40.000	511574	337047	2511980
14	UVA  	Rosie Johanson               	17	 6	 58	93.664	 71	 92.929	 74	 93.760	 53	7.813	 47	10.63	 78	 6.368	419112	337035	1712016
14	UVA  	Vivian Glozman               	 8	 4	217	77.766	243	 88.322	265	 89.035	181	7.014	259	 9.74	180	 2.765	497882	337034	1231359
14	UVA  	Hibah Shaikh                 	10	10	219	77.589	198	 89.633	196	 90.869	204	6.869	193	10.05	370	 1.632	564584	337036	 115463
14	UVA  	Sofia Munera                 	 9	 8	257	74.294	258	 87.997	244	 89.749	221	6.801	249	 9.81	324	 1.854	489689	337037	2531990
14	UVA  	Amber ODell                  	10	10	317	68.617	292	 87.101	306	 88.107	275	6.447	326	 9.44	380	 1.587	489690	337033	2533603
15	OSU  	Irina Cantos Siemers         	20	 6	 11	98.565	 11	 96.520	 12	 97.225	 12	8.387	 24	10.80	 16	24.340	511553	337123	2523252
15	OSU  	Isabelle Boulais             	12	 7	 96	89.965	 97	 92.136	 82	 93.467	 51	7.823	130	10.28	193	 2.649	490278	338602	2524101
15	OSU  	Luna Dormet                  	21	 1	129	87.199	139	 90.954	175	 91.327	 75	7.617	157	10.18	120	 3.779	490409	337124	 362848
15	OSU  	Lucia Marzal Martinez        	24	 3	137	86.383	132	 91.205	161	 91.535	111	7.359	135	10.27	147	 3.077	521208	337120	2653420
15	OSU  	Lisa Hofbauer                	15	 9	146	85.056	161	 90.567	139	 92.136	165	7.096	 93	10.39	217	 2.469	564174	337114	1711836
15	OSU  	Kolie Allen                  	10	14	256	74.354	252	 88.190	190	 91.006	253	6.576	241	 9.85	380	 1.587	490277	337093	2514416
15	OSU  	Tanisha Kashyap              	 5	 3	356	65.671	392	 84.260	383	 86.202	317	6.167	318	 9.47	315	 1.882	564175	337116	2067296
15	OSU  	Madeline Atway               	 5	 3	369	64.913	384	 84.671	373	 86.536	296	6.332	312	 9.50	   	      	564473	337110	1359986
15	OSU  	Lina Ali                     	 2	 2	469	56.237	497	 77.975	416	 84.818	370	5.852	   	     	   	      	564173	337104	2712358
15	OSU  	Kathleen Jones               	 1	 2	483	54.899	464	 80.531	464	 82.307	490	4.697	440	 8.57	   	      	490279	337100	1623665
16	CAL  	Haley Giavara                	12	12	 46	95.568	 30	 95.037	 26	 95.963	 86	7.571	 91	10.40	 28	18.438	513644	337618	  96498
