line	seed	team	kind	position	player	partner	wins1	losses1	wins2	losses2	wins3	losses3	wins4	losses4	wins5	losses5	wins6	losses6	dualWins	dualLosses	overallWins	overallLosses
50		ARK  	S	1	Alex Reco                	                         	2	11	5	0									7	11	8	12
50		ARK  	S	2	Max Verboven             	                         	2	5	1	7									3	12	3	12
50		ARK  	S	3	Nico Rousett             	                         	1	0	3	4	8	5							12	9	15	12
50		ARK  	S	4	Aleksa Bucan             	                         	0	1	0	1	3	2	3	4					6	8	10	10
50		ARK  	S	5	Adrien Burdet            	                         							0	3	11	10			11	13	11	13
50		ARK  	S	6	Enrique Paya             	                         									0	1	6	10	6	11	6	11
50		ARK  	S	7	Melvin Manuel            	                         					0	1	6	7	0	1	1	1	7	10	9	14
50		ARK  	S	8	Hunter Harrison          	                         											0	1	0	1	4	4
50		ARK  	S	9	Jose Dominguez Alonso    	                         			1	0	0	1							1	1	1	1
50		ARK  	S	10	Avery Zavala             	                         											2	0	2	0	4	4
50		ARK  	S	11	Riccardo Trione          	                         					1	0							1	0	1	0
50		ARK  	S	12	Josh Bortnick            	                         													0	0	3	3
50		ARK  	S	13	Foster Rogers            	                         													0	0	2	3
50		ARK  	D	1	Hunter Harrison          	Enrique Paya             	3	7											3	7	3	7
50		ARK  	D	2	Adrien Burdet            	Melvin Manuel            			6	4	1	0							7	4	7	4
50		ARK  	D	3	Alex Reco                	Nico Rouset              	0	1	0	1	11	6							11	8	11	8
50		ARK  	D	4	Avery Zavala             	Max Verboven             			0	2									0	2	0	2
52		AZST 	S	1	Nathan Ponwtih           	                         	14	7	1	0									15	7	15	7
52		AZST 	S	2	Makey Rakotomalala       	                         	0	1	4	8	3	1	2	0					9	10	9	10
52		AZST 	S	3	Tim Ruehl                	                         	1	0	3	3	6	2							10	5	10	5
52		AZST 	S	4	George Stoupe            	                         							4	4	3	6	3	0	10	10	10	10
52		AZST 	S	5	Max McKennon             	                         							1	2	3	2	0	1	4	5	4	5
52		AZST 	S	6	Christian Lerby          	                         					2	1			1	1	9	5	12	7	12	7
