seed	team	name
  	TAMCC	C. Townsend
  	TAMCC	Camille Townsend
  	TAMCC	E.Aucagne
  	TAMCC	E.Honore
  	TAMCC	Emma Aucagne
  	TAMCC	Emma Honore
  	TAMCC	J. Ortega Mendez
  	TAMCC	Jordan Ortega Mendez
  	TAMCC	K. Rublevska
  	TAMCC	Kateryna Rublevska
  	TAMCC	L.Boisseau
  	TAMCC	Leopoldine Boisseau
  	TAMCC	M. Shumeika
  	TAMCC	Mariya Shumeika
  	TAMCC	V. Delattre
  	TAMCC	Victoire Delattre
  	TENN 	Callie Creath
  	TENN 	Carly Briggs
  	TENN 	Daria Kuczer
  	TENN 	Eleonora Molinaro
  	TENN 	Esther Adeshina
  	TENN 	Johanna Silva
  	TENN 	Julie Ball
  	TENN 	Kylie Duckworth
  	TENN 	Rebeka Mertena
  	TENN 	Tenika McGiffin
  	TTU  	Bojana Marinkov
  	TTU  	Camryn Stepp
  	TTU  	Kailey Evans
  	TTU  	kaitlin staines
  	TTU  	Kaitlin Staines
  	TTU  	lisa mays
  	TTU  	Lisa Mays
  	TTU  	Margarita Skriabina
  	TTU  	Metka Komac
  	TTU  	Nell Miller
  	TTU  	Olivia Peet
  	UCSB 	Camille Kiss
  	UCSB 	Elizaveta Volodko
  	UCSB 	Kira Reuter
  	UCSB 	Lise Sentenac
  	UCSB 	Marta Gonzalez Ballbe
  	UCSB 	Shakhnoza Khatamova
  	UIC  	Agnes Gustafsson
  	UIC  	Ana Jover
  	UIC  	Georgia Gulin
  	UIC  	Lucie Prochazkova
  	UIC  	Marina Hermanny
  	UIC  	Nell Arendt
  	UIC  	Tamara Malazonia
  	UIC  	Tuva Wallin
  	UK   	Akvile Parazinskaite
  	UK   	Ana Tkachenko
  	UK   	Carla Girbau
  	UK   	Carlota Molina
  	UK   	Diana Tkachenko
  	UK   	Elizabeth Stevens
  	UK   	Fiona Arrese
  	UK   	Lesedi Jacobs
  	UK   	Maialen Morante
  	UNF  	Ana Melilo
  	UNF  	Annabelle Davis
  	UNF  	Catherine Gulihur
  	UNF  	Constanza Gorches
  	UNF  	Florencia Rossi
  	UNF  	Lucia Montano
  	UNF  	Sean Lodzki
  	UNF  	Summer Yardley
  	UNF  	Valentina Mariotto
  	USC  	Angela Kulikov
  	USC  	Clare McKee
  	USC  	Constance Branstine
  	USC  	Dani Willson
  	USC  	Eryn Cayetano
  	USC  	McKenna Koenig
  	USC  	Naomi Cheong
  	USC  	Salma Ewing
  	USC  	Summer Dvorak
  	USD  	Abigail Desiatnikov
  	USD  	Elisabeth Andryukhova
  	USD  	Elizabeth Goldsmith
  	USD  	Jessi Muljat
  	USD  	Jordyn McBride
  	USD  	Katharina Kukaras
  	USD  	Solymar Colling
  	USD  	Victoria Kalaitzis
  	VANDY	Anessa Lee
  	VANDY	Anna Ross
  	VANDY	Christina Rosca
  	VANDY	Dasha Kourkina
  	VANDY	Emma Kurtz
  	VANDY	Holly Staff
  	VANDY	Marcella Cruz
  	VCU  	ALESSIA CIUCA
  	VCU  	GABRIELA DAVIDESCU
  	VCU  	LARA VAN DER MERWE
  	VCU  	LUMINITA TUTUNARU
  	VCU  	NOUMEA WITMUS
  	VCU  	PAOLA EXPOSITO DIAZ-DELGADO
  	VCU  	SHIVANI MANJANNA
  	WAKE 	Anna Brylin
  	WAKE 	Anna Campana
  	WAKE 	Brooke Killingsworth
  	WAKE 	Carolyn Campana
  	WAKE 	Casie Wooten
  	WAKE 	Eliza Omirou
  	WAKE 	Mia Ahmad
  	WAKE 	Peyton Pesavento
  	XAV  	Ahmeir Kyle
  	XAV  	Anna Roggenburk
  	XAV  	Blessing Nwaozuzu
  	XAV  	Emily Thomas
  	XAV  	Imani Graham
  	XAV  	Kaitlin Ruether
  	XAV  	Kat Lyman
  	XAV  	Lucy Octave
  	XAV  	Natalie Moyer
