seed	team	player	wins	losses	r2Id	masseyId	utrId	notes	drawLine	line
R2	SCAR 	Kendall Couch                	 0	 2	513310	336947	1652218	  		  
R2	SCAR 	Lindsay Tulenko              	 0	 5	561913	336841	 121813	  		  
R2	SCAR 	Megan Davies                 	12	 8	400669	336843	 981292	AL		20
R2	SCAR 	Mia Horvit                   	11	 9	416702	336842	  41792	AL		49
R2	SCAR 	Silvia Chinellato            	12	12	396955	336840	  66301	  		  
R2	STAN 	Ana Geller                   	 8	 4	567857	339971	 293355	  		  
R2	STAN 	Angelica Blake               	 7	 3	512400	341387	1708888	ALT		  
R2	STAN 	Emily Arbuthnott             	 8	 8	386389	340264	2696401	  		  
R2	STAN 	Emma Higuchi                 	16	 3	415584	339969	  45820	  		  
R2	STAN 	India Houghton               	 3	 0	567858	      	1719842	  		  
R2	STAN 	Janice Shin                  	 6	 2	451437	339975	 932718	  		  
R2	STAN 	Michaela Gordon              	10	 7	411023	339967	2436066	AL		22
R2	STAN 	Niluka Madurawe              	 5	 1	491828	340265	  66917	  		  
R2	STAN 	Sara Choy                    	13	 4	491827	339973	2589964	  		  
R2	TENN 	Callie Creath                	 9	 8	516316	336750	  96550	  		  
R2	TENN 	Carly Briggs                 	16	15	521055	336746	  96464	  		  
R2	TENN 	Daria Kuczer                 	25	 8	561887	336754	  87284	  		  
R2	TENN 	Eleonora Molinaro            	 3	10	561885	339024	 158276	  		  
R2	TENN 	Esther Adeshina              	 8	 6	561882	336742	 221210	  		  
R2	TENN 	Johanna Silva                	13	10	451882	336743	  58352	  		  
R2	TENN 	Julie Ball                   	 2	 1	516317	336997	1712438	  		  
R2	TENN 	Rebeka Mertena               	15	15	497199	336748	 192701	  		  
R2	TENN 	Tenika McGiffin              	21	11	431615	336737	 109229	  		  
R2	TTU  	Bojana Marinkov              	 4	 6	520627	337015	1710715	  		  
R2	TTU  	Camryn Stepp                 	 2	 5	561655	336805	 371582	  		  
R2	TTU  	Kailey Evans                 	 5	 3	562250	336804	 154361	  		  
R2	TTU  	Kaitlin Staines              	10	13	561654	336807	2540302	  		  
R2	TTU  	Lisa Mays                    	12	 9	515909	337010	1701918	  		  
