seed	team	name	kind	position	wins1	losses1	wins2	losses2	wins3	losses3	wins4	losses4	wins5	losses5	wins6	losses6	dualWins	dualLosses	overallWins	overallLosses	r2Id	r2Id2
11	FLA  	Amber McGinnis             	S	 7	  	  	  	 	  	  	  	  	0 	1	1 	6	 1	 7	 1	 7	564248	      
11	FLA  	Kessler/Zein               	D	 1	 9	 6	  	 	  	  	  	  	  	 	  	 	 9	 6	13	 7	421536	489050
11	FLA  	Jarlskog/Sleeth            	D	 2	  	  	 6	0	  	  	  	  	  	 	  	 	 6	 0	 6	 0	489049	511900
11	FLA  	Dahlstrom/Berlin           	D	 3	  	  	  	 	3 	5 	  	  	  	 	  	 	 3	 5	 6	 7	561858	497400
12	LSU  	Taylor Bridges             	S	 1	 7	 7	  	 	  	  	  	  	  	 	  	 	 7	 7	13	10	486239	      
12	LSU  	Safiya Carrington          	S	 2	 1	 1	 2	5	  	  	  	  	  	 	  	 	 3	 6	10	10	511368	      
12	LSU  	Paris Corley               	S	 3	  	  	  	 	6 	2 	2 	1 	2 	0	  	 	10	 3	18	 4	486238	      
12	LSU  	Maggie Cubitt              	S	 4	  	  	  	 	  	  	4 	1 	1 	0	  	 	 5	 1	 6	 4	511369	      
12	LSU  	Eden Richardson            	S	 5	  	  	  	 	2 	3 	0 	1 	2 	2	  	 	 4	 6	 8	11	445332	      
12	LSU  	Nina Geissler              	S	 6	  	  	  	 	  	  	1 	1 	5 	0	4 	2	10	 3	15	 6	511370	      
12	LSU  	Samantha Buyckx            	S	 7	  	  	  	 	  	  	  	  	1 	0	6 	1	 7	 1	11	 6	562070	      
12	LSU  	Anna Loughlan              	S	 8	  	  	  	 	  	  	  	  	  	 	  	 	 0	 0	 2	 2	486237	      
12	LSU  	Richardson/Geissler        	D	 1	 4	 7	  	 	  	  	  	  	  	 	  	 	 4	 7	 4	10	445332	511370
12	LSU  	Bridges/Corley             	D	 2	 1	 1	 4	1	7 	2 	  	  	  	 	  	 	12	 4	15	 4	486239	486238
12	LSU  	Cubitt/Carrington          	D	 3	 1	 1	 4	2	  	  	  	  	  	 	  	 	 5	 3	 7	 5	511369	511368
12	LSU  	Buyckx/Loughlan            	D	 4	  	  	  	 	  	  	  	  	  	 	  	 	 0	 0	 0	 0	562070	486237
13	GT   	Kenya Jones                	S	 1	16	 7	  	 	  	  	  	  	  	 	  	 	16	 7	17	 8	419665	      
13	GT   	Victoria Flores            	S	 2	 2	 1	12	4	3 	0 	  	  	  	 	  	 	17	 5	18	 6	407152	      
13	GT   	Gia Cohen                  	S	 3	  	  	 1	0	3 	11	4 	3 	  	 	  	 	 8	14	 8	15	497851	      
13	GT   	Ava Hrastar                	S	 4	  	  	 4	2	4 	4 	2 	3 	  	 	  	 	10	 9	12	 9	564715	      
13	GT   	Carol Lee                  	S	 5	  	  	  	 	2 	1 	3 	1 	5 	8	2 	2	12	12	14	12	564717	      
13	GT   	Mahak Jain                 	S	 6	  	  	  	 	  	  	2 	4 	5 	1	7 	2	14	 7	16	 7	564716	      
13	GT   	Rosie Garcia Gross         	S	 7	  	  	  	 	  	  	1 	4 	1 	1	3 	6	 5	11	 5	11	513566	      
13	GT   	Monika Dedaj               	S	 8	  	  	  	 	  	  	  	  	2 	4	1 	0	 3	 4	 4	 4	520776	      
13	GT   	Ruth Marsh                 	S	 9	  	  	  	 	  	  	0 	1 	  	 	0 	2	 0	 3	 1	 4	564714	      
13	GT   	Jones/Flores               	D	 1	20	 3	  	 	  	  	  	  	  	 	  	 	20	 3	22	 4	419665	407152
13	GT   	Hrastar/Cohen              	D	 2	 1	 0	 5	6	  	  	  	  	  	 	  	 	 6	 6	 6	 6	564715	497851
13	GT   	Lee/Dedaj                  	D	 3	  	  	  	 	1 	8 	  	  	  	 	  	 	 1	 8	 1	 8	564717	520776
13	GT   	Gross/Jain                 	D	 4	  	  	 0	1	0 	1 	  	  	  	 	  	 	 0	 2	 0	 2	513566	564716
14	UVA  	Emma Navarro               	S	 1	17	 1	  	 	  	  	  	  	  	 	  	 	17	 1	17	 1	564450	      
14	UVA  	Natasha Subhash            	S	 2	 1	 0	14	4	  	  	  	  	  	 	  	 	15	 4	15	 5	511574	      
14	UVA  	Rosie Johanson             	S	 3	  	  	 1	0	15	2 	  	  	  	 	  	 	16	 2	16	 4	419112	      
14	UVA  	Hibah Shaikh               	S	 4	  	  	  	 	1 	0 	4 	9 	1 	0	  	 	 6	 9	 7	10	564584	      
14	UVA  	Amber ODell                	S	 5	  	  	  	 	  	  	  	  	1 	3	9 	4	10	 7	10	 9	489690	      
14	UVA  	Vivian Glozman             	S	 6	  	  	  	 	  	  	1 	0 	4 	2	2 	1	 7	 3	 8	 4	497882	      
14	UVA  	Sofia Munera               	S	 7	  	  	  	 	  	  	5 	0 	1 	4	2 	2	 8	 6	 9	 7	489689	      
14	UVA  	Jourdan Krueger            	S	 8	  	  	  	 	  	  	  	  	  	 	  	 	 0	 0	 0	 0	      	      
14	UVA  	Navarro/Johanson           	D	 1	 7	 6	 2	2	  	  	  	  	  	 	  	 	 9	 8	 9	 8	564450	419112
14	UVA  	Munera/Subhash             	D	 2	 2	 0	 6	5	  	  	  	  	  	 	  	 	 8	 5	10	 7	489689	511574
14	UVA  	Glozman/Shaikh             	D	 3	  	  	  	 	1 	1 	  	  	  	 	  	 	 1	 1	 1	 2	497882	564584
14	UVA  	ODell/Krueger              	D	 4	  	  	  	 	  	  	  	  	  	 	  	 	 0	 0	 0	 0	489690	      
15	OSU  	Irina Cantos Siemers       	S	 1	10	 5	 5	0	  	  	  	  	  	 	  	 	15	 5	18	 5	511553	      
15	OSU  	Isabelle Boulais           	S	 2	 3	 1	 6	3	2 	1 	  	  	  	 	  	 	11	 5	11	 5	490278	      
15	OSU  	Kolie Allen                	S	 3	 0	 1	 0	3	7 	3 	3 	2 	  	 	  	 	10	 9	10	12	490277	      
15	OSU  	Lisa Hofbauer              	S	 4	  	  	 1	1	3 	3 	7 	2 	1 	0	  	 	12	 6	13	 8	564174	      
15	OSU  	Lucia Marzal Martinez      	S	 5	  	  	  	 	1 	0 	7 	0 	10	2	1 	0	19	 2	21	 3	521208	      
15	OSU  	Luna Dormet                	S	 6	  	  	  	 	  	  	1 	0 	7 	0	9 	1	17	 1	19	 1	490409	      
15	OSU  	Madeline Atway             	S	 7	  	  	  	 	  	  	  	  	  	 	2 	1	 2	 1	 4	 2	564473	      
15	OSU  	Lina Ali                   	S	 8	  	  	  	 	  	  	  	  	1 	0	  	 	 1	 0	 2	 2	564173	      
15	OSU  	Boulais/Allen              	D	 1	14	 2	  	 	  	  	  	  	  	 	  	 	14	 2	14	 2	490278	490277
15	OSU  	Martinez/Hofbauer          	D	 2	  	  	10	2	1 	0 	  	  	  	 	  	 	11	 2	11	 2	521208	564174
15	OSU  	Dormet/Siemers             	D	 3	  	  	 1	0	10	0 	  	  	  	 	  	 	11	 0	11	 0	490409	511553
15	OSU  	Atway/Ali                  	D	 4	  	  	  	 	  	  	  	  	  	 	  	 	 0	 0	 0	 1	564473	564173
16	CAL  	Haley Giavara              	S	 1	12	10	  	 	  	  	  	  	  	 	  	 	12	10	12	10	513644	      
16	CAL  	Julia Rosenqvist           	S	 2	  	  	11	7	3 	0 	  	  	  	 	  	 	14	 7	14	 7	447001	      
16	CAL  	Valentina Ivanov           	S	 3	 0	 1	 1	2	9 	5 	  	  	  	 	  	 	10	 8	10	 8	513643	      
16	CAL  	Jada Bui                   	S	 4	  	  	  	 	2 	1 	8 	5 	  	 	  	 	10	 6	10	 6	564962	      
16	CAL  	Hannah Viller Moeller      	S	 5	  	  	  	 	0 	1 	6 	1 	8 	5	  	 	14	 7	14	 7	564963	      
16	CAL  	Anna Bright                	S	 6	  	  	  	 	  	  	1 	0 	7 	0	10	3	18	 3	18	 3	392716	      
16	CAL  	Cami Brown                 	S	 7	  	  	  	 	  	  	  	  	  	 	1 	2	 1	 2	 1	 2	564964	      
16	CAL  	Erin Richardson            	S	 8	  	  	  	 	  	  	  	  	0 	1	3 	2	 3	 3	 3	 3	513642	      
16	CAL  	Giavara/Ivanov             	D	 1	12	 5	  	 	  	  	  	  	  	 	  	 	12	 5	12	 5	513644	513643
16	CAL  	Bright/Moeller             	D	 2	  	  	11	6	  	  	  	  	  	 	  	 	11	 6	11	 6	392716	564963
16	CAL  	Bui/Richardson             	D	 3	  	  	  	 	2 	2 	  	  	  	 	  	 	 2	 2	 2	 2	564962	513642
16	CAL  	Rosenqvist/Brown           	D	 4	  	  	  	 	  	  	  	  	  	 	  	 	 0	 0	 0	 0	447001	564964
