seed	team	player	wins	losses	r2Id	masseyId	utrId	line	notes
R2	STAN 	Neel Rajesh                         	 6	 3	512404	335010	 450275	  	   
R2	STAN 	Sangeet Sridhar                     	 1	 2	488299	335293	1906138	  	   
R2	STAN 	Timothy Sah                         	 8	 5	448080	335007	  76942	  	   
R2	STAN 	Tristan Boyer                       	 8	 6	564317	335005	  85308	  	   
R2	STAN 	William Genesen                     	 5	 3	409523	335008	  42081	  	   
R2	TTU  	Connor Johnson                      	 2	 6	520547	330878	2093451	  	   
R2	TTU  	Dimitrios Azoidis                   	16	10	561078	330877	2557540	  	   
R2	TTU  	Francisco Vittar                    	 3	 5	509800	330880	 183984	  	   
R2	TTU  	Franco Ribero                       	12	11	497381	330885	2007644	  	   
R2	TTU  	Ilgiz Valiev                        	15	14	459644	330875	 194296	  	   
R2	TTU  	Isaac Arevalo                       	14	 7	520546	330892	 205089	  	   
R2	TTU  	Justin Bloss                        	 0	 6	390956	331406	 380660	  	   
R2	TTU  	Parker Wynn                         	 9	15	485875	330871	 931277	  	   
R2	TTU  	Reed Collier                        	15	 9	509737	330890	  85466	  	   
R2	TULN 	Akos Kotorman                       	 2	 3	485685	331893	 125074	  	   
R2	TULN 	Billy Suarez                        	10	 7	527618	331885	  85360	  	   
R2	TULN 	Charlie Barry                       	 0	 1	520554	      	 275124	  	   
R2	TULN 	Ewan Moore                          	10	 7	434419	331890	2547215	  	   
R2	TULN 	Fynn Kuenkler                       	 5	 9	527616	331891	1821612	  	   
R2	TULN 	Hamish Stewart                      	13	 7	454831	331882	1608055	43	AL 
R2	TULN 	Henry Lovett                        	 2	 0	510074	331888	 100585	  	   
R2	TULN 	Jeremy Schifris                     	 2	 2	527617	331889	2548169	  	   
R2	TULN 	Luis Erlenbusch                     	15	 5	405135	331884	  82502	  	   
R2	TULN 	Rafael De Alba                      	12	 5	527615	331887	2647825	  	   
R2	UCLA 	Ben Goldberg                        	 9	 8	410457	332057	  77562	  	   
R2	UCLA 	Connor Hance                        	 0	 1	413355	333035	  65536	  	   
R2	UCLA 	Drew Baird                          	 9	 8	510687	333037	1445715	  	   
R2	UCLA 	Eric Hahn                           	 0	 1	489257	332058	  77192	  	   
R2	UCLA 	Govind Nanda                        	 8	 4	498066	335639	2390968	  	ALT
R2	UCLA 	Keegan Smith                        	13	 2	452926	331995	  69327	  	AL 
R2	UCLA 	Mathew Tsolakyan                    	11	 4	489259	331999	2546946	  	   
R2	UCLA 	Patrick Zahraj                      	 1	 2	498067	334030	 233945	  	   
R2	UCLA 	Roscoe Bellamy                      	 8	 3	489256	331997	  76996	  	   
R2	UCLA 	Sam Feit                            	11	 6	564425	331996	 363798	  	   
R2	UCLA 	Stefan Leustian                     	 2	 0	564426	      	2554139	  	   
R2	USF  	Alvin Tudorica                      	 6	 4	564806	331792	1940255	  	   
R2	USF  	Antonio Muniz                       	 6	 5	512187	335731	1583316	  	   
R2	USF  	Chase Ferguson                      	14	 9	485713	331787	  81925	  	   
R2	USF  	Ivan Yatsuk                         	15	 9	485717	332038	  99283	  	   
R2	USF  	Jacob Wojcik                        	17	 7	464470	331788	1880805	61	AL 
R2	USF  	Manuel Goncalves                    	 2	 2	565166	      	2038253	  	   
R2	USF  	Niels Van Noord                     	 1	 0	485716	334203	2597548	  	   
R2	USF  	Pierre Luquet                       	 9	11	428315	331789	 201744	  	   
R2	USF  	Rithvik Bollipalli                  	 2	 5	512186	331790	 319613	  	   
R2	USF  	Sergio Gomez Montesa                	13	11	485714	331791	2536918	  	   
R3	DEN  	Charlie Miller                      	 1	 0	563533	      	 253170	  	   
R3	DEN  	Daniel Krulig                       	 6	 3	486489	332052	  85609	  	   
R3	DEN  	Ignacio Rivero Crespo               	 9	 2	511784	331944	2527504	  	   
R3	DEN  	James Davis                         	14	 3	486502	331943	1885056	 6	AQ 
R3	DEN  	Matt Summers                        	11	 6	455733	331942	 777847	  	   
R3	DEN  	Mattia Ros                          	 8	 9	446861	331941	 192607	  	   
R3	DEN  	Nicolas Herrero Cuesta              	14	 2	563532	332196	1544597	  	   
R3	DEN  	Peter Sallay                        	12	 5	563534	332051	 270258	  	   
R3	DUKE 	Andrew Dale                         	 9	 4	564416	331652	 300311	  	   
R3	DUKE 	Andrew Zhang                        	13	 5	514432	331639	  85837	  	   
R3	DUKE 	Edu Guell                           	 8	12	497384	331644	1564518	  	   
R3	DUKE 	Faris Khan                          	 9	 4	564418	331655	2616137	  	   
R3	DUKE 	Garrett Johns                       	10	 9	514429	331631	1731401	  	   
R3	DUKE 	Luca Keist                          	 8	 4	520675	331641	 135372	  	   
R3	DUKE 	Michael Heller                      	 7	 5	514428	331633	  83012	  	   
R3	DUKE 	Samuel Rubell                       	 7	 5	514431	331637	  85267	  	   
R3	DUKE 	Sean Sculley                        	 6	 5	450276	331635	 229380	  	   
R3	FGCU 	Alessandro Conca                    	 4	 9	566471	332035	 274696	  	   
R3	FGCU 	Eric Oncins                         	 0	 1	566475	      	1047036	  	   
